ID1 *,Latitude,Longitude,WaterDepth_Min,WaterDepth_Max,WaterDepth_Notes,TotalLength_Lt,DepositLength_Ld,EvacuatedLength_Le,LengthNotes,ScarpPerimeterLength_Ls,ScarpHeight_Hs,EvacuatedHeight_He,ScarpWidth_Ws,ScarpSurfaceNature,Scarp_Notes,MaxDepositWidth_Wd,MaxDepositThickness_Tdmax_m,MaxDepositThickness_TWTT_Tdmax,MaxUnconfinedDepositThickness_Tumax_m,MaxUnconfinedDepositThickness_TWTT_Tumax,ThicknessNotes,Deposit_Notes,TotalHeightDrop_Ht,SlopeGradient_S,SlopeGradientNotes,SlopeGradientHeadscarp_Ss,SlopeGradientHeadscarpNotes,SlopeGradientToe_St,SlopeGradientToeNotes,OBJECTID_12__
44,47.640143,-53.108184,-272.144,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,44
45,48.134027,-53.291464,-468,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,45
46,49.008909,-50.155334,-350,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,46
47,49.001853,-50.09424,-488,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,47
48,49.008909,-50.155334,-350,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,48
49,48.860743,-50.043329,-389.444,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,49
50,48.860743,-50.084058,-313.089,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,50
51,47.964696,-53.444198,-291.205,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,51
52,48.02114,-53.393286,-149.075,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,52
53,48.02114,-53.393286,-149.075,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,53
