39,,Canada East Coast - Newfoundland_1787,Newfoundland_1787,FALSE,,0,,,Glacial marine sediment of the Holocene with infill,
40,,Canada East Coast - Newfoundland_1888,Newfoundland_1888,FALSE,,0,,,Blocky debrite on steepest slope,
41,,Canada East Coast - Newfoundland_1917,Newfoundland_1917,FALSE,,0,,,Possible (roughly 30m relief),
42,,Canada East Coast - Newfoundland_1918,Newfoundland_1918,FALSE,,0,,,Small blocky steep bedrock flank,
43,,Canada East Coast - Newfoundland_2355,Newfoundland_2355,FALSE,,0,,,Base of slope in mud,
44,,Canada East Coast - Newfoundland_2356,Newfoundland_2356,FALSE,,0,,,Debris flow,
45,,Canada East Coast - Newfoundland_6768,Newfoundland_6768,FALSE,,0,,,Depositional wedge may be till tongue,
46,,Canada East Coast - Newfoundland_6771,Newfoundland_6771,FALSE,,0,,,Large slide defined from two airgun traverses only,
47,,Canada East Coast - Newfoundland_6772,Newfoundland_6772,FALSE,,0,,,Large slide defined from two airgun traverses only,
48,,Canada East Coast - Newfoundland_6773,Newfoundland_6773,FALSE,,0,,,Large slide defined from two airgun traverses only,
49,,Canada East Coast - Newfoundland_6774,Newfoundland_6774,FALSE,,0,,,Large slide defined from two airgun traverses only,
50,,Canada East Coast - Newfoundland_6775,Newfoundland_6775,FALSE,,0,,,Large slide defined from two airgun traverses only,
51,,Canada East Coast - Newfoundland_6829,Newfoundland_6829,FALSE,,0,,,Depositional wedge may be till tongue,
52,,Canada East Coast - Newfoundland_6830,Newfoundland_6830,FALSE,,0,,,Depositional wedge may be till tongue,
53,,Canada East Coast - Newfoundland_6831,Newfoundland_6831,FALSE,,0,,,Depositional wedge may be till tongue,
54,,Canada East Coast - Newfoundland_6832,Newfoundland_6832,FALSE,,0,,,Depositional wedge may be till tongue,
55,,Canada East Coast - Newfoundland_6833,Newfoundland_6833,FALSE,,0,,,Depositional wedge may be till tongue,
56,,Canada East Coast - Newfoundland_6834,Newfoundland_6834,FALSE,,0,,,Depositional wedge may be till tongue,
57,,Canada East Coast - Newfoundland_7465,Newfoundland_7465,FALSE,,0,,,Depositional wedge may be till tongue,
58,,Canada East Coast - Newfoundland_13796,Newfoundland_13796,FALSE,,0,,,Depositional wedge may be till tongue,
59,,Canada East Coast - Newfoundland_13797,Newfoundland_13797,FALSE,,0,,,Depositional wedge may be till tongue,
60,,Canada East Coast - Newfoundland_13798,Newfoundland_13798,FALSE,,0,,,Depositional wedge may be till tongue,
61,,Canada East Coast - Newfoundland_13799,Newfoundland_13799,FALSE,,0,,,Depositional wedge may be till tongue,
62,,Canada West Coast_1,,FALSE,,0,,,,Translational slide
63,,Canada West Coast_2,,FALSE,,0,,,,Translational slide
64,,Canada West Coast_3,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
65,,Canada West Coast_4,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
66,,Canada West Coast_5,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
67,,Canada West Coast_6,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
68,,Canada West Coast_7,,FALSE,,0,,,,Translational slide
69,,Canada West Coast_8,,FALSE,,0,,,,Translational slide
70,,Canada West Coast_9,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
71,,Canada West Coast_10,,FALSE,,0,,,,Delta and channel complex
72,,Canada West Coast_11,,FALSE,,0,,,,Delta and channel complex
73,,Canada West Coast_12,,FALSE,,0,,,,Delta and channel complex
74,,Canada West Coast_13,,FALSE,,0,,,,Delta and channel complex
75,,Canada West Coast_14,,FALSE,,0,,,,Delta and channel complex
76,,Canada West Coast_15,,FALSE,,0,,,Several slides are included in this translational blocks,Submarine alluvial fan/composite slide
77,,Canada West Coast_16,,FALSE,,0,,,,Translational slide
78,,Canada West Coast_17,,FALSE,,0,,,,Translational slide
79,,Canada West Coast_18,,FALSE,,0,,,,Translational slide
80,,Canada West Coast_19,,FALSE,,0,,,Debris flows distally from translational,Translational slide
81,,Canada West Coast_20,,FALSE,,0,,,Debris flows distally from translational,Translational slide
82,,Canada West Coast_21,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
83,,Canada West Coast_22,,FALSE,,0,,,,Submarine alluvial fan/composite slide
84,,Canada West Coast_23,,FALSE,,0,,,,Translational slide
85,,Canada West Coast_24,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
86,,Canada West Coast_25,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
87,,Canada West Coast_26,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
88,,Canada West Coast_27,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
89,,Canada West Coast_28,,FALSE,,0,,,Good example of a translational slide ,Translational slide
